Gene,BreastEarly_1,BreastEarly_2,BreastEarly_3,BreastMid_1,BreastMid_2,BreastMid_3,BreastLate_1,BreastLate_2,BreastLate_3,LungMetastasis_1,LungMetastasis_2,LungMetastasis_3
Ywhaq,5,14,9,0,0,0,12,7,9,10,7,5
Ywhaq-ps1,1,2,1,0,0,0,3,1,2,0,0,0
Ywhaq-ps3,0,0,4,0,0,0,0,0,0,0,0,0
Ywhaz,87,86,77,39,53,27,117,123,121,46,30,33
Yy1,47,67,51,44,17,19,90,107,111,94,44,46
Zacn-ps,0,2,5,0,0,0,0,0,0,2,1,1
Zan,0,0,0,0,0,0,0,0,0,27,20,14
Zap70,0,0,0,0,0,0,0,0,0,3,2,6
Zar1-ps,0,0,0,0,0,0,0,0,0,0,0,0
Zar1l,0,0,0,0,0,0,0,0,0,0,0,0
Zbbx,0,0,0,0,0,0,0,0,0,6,2,4
Zbed3,8,8,8,0,1,0,2,8,9,8,5,3
Zbed4,0,2,5,0,0,0,3,3,2,1,0,0
Zbed5,1,1,1,0,0,0,1,0,2,0,0,3
Zbed5-ps,2,1,1,0,0,0,0,0,1,0,0,1
Zbed6,82,101,77,13,12,10,60,69,64,60,45,42
Zbp1,6,4,10,0,0,0,7,11,7,3,3,0
Zbtb1,17,41,37,7,5,3,16,11,15,8,8,5
Zbtb10,41,52,42,4,2,1,37,59,53,24,24,17
Zbtb11,18,16,15,0,0,0,2,13,11,15,7,8
Zbtb11os1,2,4,2,0,0,0,3,3,1,2,0,0
Zbtb12,3,5,2,4,1,1,10,4,5,3,2,4
Zbtb14,5,6,3,1,1,1,3,6,6,11,7,8
Zbtb16,35,55,54,3,29,18,4,3,9,175,119,123
Zbtb17,16,15,11,0,0,0,9,12,11,39,17,18
Zbtb18,36,38,33,19,9,9,23,41,22,27,20,19
Zbtb2,16,8,4,2,2,2,3,5,5,12,9,4
Zbtb20,107,104,93,51,47,43,61,50,73,135,84,91
Zbtb21,17,15,19,3,16,4,16,27,18,21,8,11
Zbtb22,23,16,18,0,0,0,11,14,14,17,13,12
Zbtb24,8,4,3,0,1,0,7,3,3,17,4,12
Zbtb25,4,2,3,0,1,0,5,1,3,2,1,1
Zbtb26,3,17,14,0,0,0,5,5,2,4,1,3
Zbtb3,0,1,1,0,0,0,2,1,0,2,0,2
Zbtb32,0,0,0,0,0,0,2,0,0,1,0,2
Zbtb33,23,22,9,2,2,1,8,7,10,4,2,1
Zbtb34,13,32,16,5,5,1,22,32,22,23,16,7
Zbtb37,28,27,21,3,12,9,17,13,9,22,17,12
Zbtb38,49,74,39,6,7,11,46,48,42,35,25,22
Zbtb39,15,12,7,4,4,3,9,11,4,20,11,13
Zbtb4,38,44,59,12,4,4,28,33,31,127,69,71
Zbtb40,28,30,26,1,0,2,17,18,20,39,32,20
Zbtb41,20,26,21,4,2,7,6,7,9,8,5,3
Zbtb42,14,15,16,7,8,3,11,6,16,25,16,11
Zbtb43,12,11,10,1,1,1,10,6,8,7,2,5
Zbtb44,17,51,26,8,9,10,15,30,14,20,2,14
Zbtb45,7,8,4,4,2,2,10,10,7,8,5,7
Zbtb46,1,7,6,0,6,7,1,1,0,15,10,13
Zbtb47,4,3,6,2,0,0,1,8,11,30,21,23
Zbtb48,16,5,14,1,0,0,5,9,2,34,16,10
Zbtb49,10,8,13,0,0,0,4,4,6,16,9,5
Zbtb5,6,9,9,0,0,0,5,4,5,5,1,9
Zbtb6,10,6,5,12,14,7,3,4,4,2,0,1
Zbtb7a,62,68,60,35,28,15,115,111,117,72,52,48
Zbtb7b,59,65,42,21,20,8,88,71,81,51,29,26
Zbtb7c,6,3,5,1,2,1,9,4,4,9,1,7
Zbtb8a,4,3,3,2,1,1,3,2,2,2,1,2
Zbtb8b,0,0,0,0,0,0,1,0,2,0,0,0
Zbtb8os,7,4,2,0,0,0,1,2,1,4,0,1
Zbtb9,0,0,0,0,0,0,1,0,0,0,0,0
Zc2hc1a,12,14,11,0,1,0,6,13,4,17,9,10
Zc2hc1c,1,2,0,0,0,1,0,0,1,4,3,7
Zc3h10,4,4,4,4,0,2,1,5,2,4,5,2
Zc3h11a,5,12,11,1,1,1,4,13,9,3,1,1
Zc3h12a,13,7,9,5,11,5,14,12,13,18,9,9
